title,"mitre_string",id,description,source
"CMD Echo Pipe - Escalation","T1059|T1059.003|T1543.003|T1543","eb277ba0-b96b-11eb-b00e-acde48001122","This analytic identifies a common behavior by Cobalt Strike and other
  frameworks where the adversary will escalate privileges, either via `jump` (Cobalt
  Strike PTH) or `getsystem`, using named-pipe impersonation. A suspicious event will
  look like `cmd.exe /c echo 4sgryt3436 > \\.\Pipe\5erg53`.
","detections\endpoint\cmd_echo_pipe___escalation.yml"
"Common Ransomware Extensions",T1485,"a9e5c5db-db11-43ca-86a8-c852d1b2c0ec","The search looks for file modifications with extensions commonly used
  by Ransomware
","detections\endpoint\common_ransomware_extensions.yml"
"Common Ransomware Notes",T1485,"ada0f478-84a8-4641-a3f1-d82362d6bd71","The search looks for files created with names matching those typically
  used in ransomware notes that tell the victim how to get their data back.
","detections\endpoint\common_ransomware_notes.yml"
"Conti Common Exec parameter",T1204,"624919bc-c382-11eb-adcc-acde48001122","This search detects the suspicious commandline argument of revil ransomware
  to encrypt specific or all local drive and network shares of the compromised machine
  or host.
","detections\endpoint\conti_common_exec_parameter.yml"
"Create or delete windows shares using net exe","T1070|T1070.005","743a322c-9a68-4a0f-9c17-85d9cce2a27c","This search looks for the creation or deletion of hidden shares using
  net.exe.
","detections\endpoint\create_or_delete_windows_shares_using_net_exe.yml"
"Deleting Of Net Users",T1531,"1c8c6f66-acce-11eb-aafb-acde48001122","This analytic will detect a suspicious net.exe/net1.exe command-line
  to delete a user on a system. This technique may be use by an administrator for
  legitimate purposes, however this behavior has been used in the wild to impair some
  user or deleting adversaries tracks created during its lateral movement additional
  systems. During triage, review parallel processes for additional behavior. Identify
  any other user accounts created before or after.
","detections\endpoint\deleting_of_net_users.yml"
"Detect Empire with PowerShell Script Block Logging","T1059|T1059.001","bc1dc6b8-c954-11eb-bade-acde48001122","'The following analytic utilizes PowerShell Script Block Logging (EventCode=4104)
  to identify suspicious PowerShell execution. Script Block Logging captures the command
  sent to PowerShell, the full command to be executed. Upon enabling, logs will output
  to Windows event logs. Dependent upon volume, enable on critical endpoints or all.
  \
  This analytic identifies the common PowerShell stager used by PowerShell-Empire.
  Each stager that may use PowerShell all uses the same pattern. The initial HTTP
  will be base64 encoded and use `system.net.webclient`. Note that some obfuscation
  may evade the analytic. \
  During triage, review parallel processes using an EDR product or 4688 events. It
  will be important to understand the timeline of events around this activity. Review
  the entire logged PowerShell script block.'
","detections\endpoint\detect_empire_with_powershell_script_block_logging.yml"
"Detect Excessive Account Lockouts From Endpoint","T1078|T1078.002","c026e3dd-7e18-4abb-8f41-929e836efe74","This search identifies endpoints that have caused a relatively high number
  of account lockouts in a short period.
","detections\endpoint\detect_excessive_account_lockouts_from_endpoint.yml"
"Detect Excessive User Account Lockouts","T1078|T1078.003","95a7f9a5-6096-437e-a19e-86f42ac609bd","This search detects user accounts that have been locked out a relatively
  high number of times in a short period.
","detections\endpoint\detect_excessive_user_account_lockouts.yml"
"Detect Exchange Web Shell","T1505|T1505.003|T1190","8c14eeee-2af1-4a4b-bda8-228da0f4862a","'The following query identifies suspicious .aspx created in 3 paths identified
  by Microsoft as known drop locations for Exchange exploitation related to HAFNIUM
  group and recently disclosed vulnerablity named ProxyShell. Paths include: `\HttpProxy\owa\auth\`,
  `\inetpub\wwwroot\aspnet_client\`, and `\HttpProxy\OAB\`. Upon triage, the suspicious
  .aspx file will likely look obvious on the surface. inspect the contents for script
  code inside. Identify additional log sources, IIS included, to review source and
  other potential exploitation. It is often the case that a particular threat is only
  applicable to a specific subset of systems in your environment. Typically analytics
  to detect those threats are written without the benefit of being able to only target
  those systems as well. Writing analytics against all systems when those behaviors
  are limited to identifiable subsets of those systems is suboptimal. Consider the
  case ProxyShell vulnerability on Microsoft Exchange Servers. With asset information,
  a hunter can limit their analytics to systems that have been identified as Exchange
  servers. A hunter may start with the theory that the exchange server is communicating
  with new systems that it has not previously. If this theory is run against all publicly
  facing systems, the amount of noise it will generate will likely render this theory
  untenable. However, using the asset information to limit this analytic to just the
  Exchange servers will reduce the noise allowing the hunter to focus only on the
  systems where this behavioral change is relevant.'
","detections\endpoint\detect_exchange_web_shell.yml"
"Detect Prohibited Applications Spawning cmd exe","T1059|T1059.003","dcfd6b40-42f9-469d-a433-2e53f7486664","This search looks for executions of cmd.exe spawned by a process that
  is often abused by attackers and that does not typically launch cmd.exe.
","detections\endpoint\detect_prohibited_applications_spawning_cmd_exe.yml"
"Detect Use of cmd exe to Launch Script Interpreters","T1059|T1059.003","b89919ed-fe5f-492c-b139-95dbb162039e","This search looks for the execution of the cscript.exe or wscript.exe
  processes, with a parent of cmd.exe. The search will return the count, the first
  and last time this execution was seen on a machine, the user, and the destination
  of the machine
","detections\endpoint\detect_use_of_cmd_exe_to_launch_script_interpreters.yml"
"Disable Logs Using WevtUtil","T1070|T1070.001","236e7c8e-c9d9-11eb-a824-acde48001122","This search is to detect execution of wevtutil.exe to disable logs. This
  technique was seen in several ransomware to disable the event logs to evade alerts
  and detections.
","detections\endpoint\disable_logs_using_wevtutil.yml"
"Disabling Net User Account",T1531,"c0325326-acd6-11eb-98c2-acde48001122","This analytic will identify a suspicious command-line that disables a
  user account using the `net.exe` utility native to Windows. This technique may used
  by the adversaries to interrupt availability of such users to do their malicious
  act.
","detections\endpoint\disabling_net_user_account.yml"
"Domain Controller Discovery with Nltest",T1018,"41243735-89a7-4c83-bcdd-570aa78f00a1","This analytic looks for the execution of `nltest.exe` with command-line
  arguments utilized to discover remote systems. The arguments `/dclist:` and '/dsgetdc:',
  can be used to return a list of all domain controllers. Red Teams and adversaries
  alike may use nltest.exe to identify domain controllers in a Windows Domain for
  situational awareness and Active Directory Discovery.
","detections\endpoint\domain_controller_discovery_with_nltest.yml"
"Domain Controller Discovery with Wmic",T1018,"64c7adaa-48ee-483c-b0d6-7175bc65e6cc","This analytic looks for the execution of `wmic.exe` with command-line
  arguments utilized to discover remote systems. The arguments utilized in this command
  line return a list of all domain controllers in a Windows domain. Red Teams and
  adversaries alike use *.exe to identify remote systems for situational awareness
  and Active Directory Discovery.
","detections\endpoint\domain_controller_discovery_with_wmic.yml"
"Drop IcedID License dat","T1204|T1204.002","b7a045fc-f14a-11eb-8e79-acde48001122","This search is to detect dropping a suspicious file named as ""license.dat""
  in %appdata%. This behavior seen in latest IcedID malware that contain the actual
  core bot that will be injected in other process to do banking stealing.
","detections\endpoint\drop_icedid_license_dat.yml"
"Excessive Attempt To Disable Services",T1489,"8fa2a0f0-acd9-11eb-8994-acde48001122","This analytic will identify suspicious series of command-line to disable
  several services. This technique is seen where the adversary attempts to disable
  security app services or other malware services to complete the objective on the
  compromised system.
","detections\endpoint\excessive_attempt_to_disable_services.yml"
"Excessive File Deletion In WinDefender Folder",T1485,"b5baa09a-7a05-11ec-8da4-acde48001122","This analytic will identify excessive file deletion events in the Windows
  Defender folder. This technique was seen in the WhisperGate malware campaign in
  which adversaries abused Nirsofts advancedrun.exe to gain administrative privilege
  to then execute PowerShell commands to delete files within the Windows Defender
  application folder. This behavior is a good indicator the offending process is trying
  to corrupt a Windows Defender installation.
","detections\endpoint\excessive_file_deletion_in_windefender_folder.yml"
"Excessive Service Stop Attempt",T1489,"ae8d3f4a-acd7-11eb-8846-acde48001122","This analytic identifies suspicious series of attempt to kill multiple
  services on a system using either `net.exe` or `sc.exe`. This technique is use by
  adversaries to terminate security services or other related services to continue
  there objective and evade detections.
","detections\endpoint\excessive_service_stop_attempt.yml"
"Excessive Usage Of Net App",T1531,"45e52536-ae42-11eb-b5c6-acde48001122","This analytic identifies excessive usage of `net.exe` or `net1.exe` within
  a bucket of time (1 minute). This behavior was seen in a Monero incident where the
  adversary attempts to create many users, delete and disable users as part of its
  malicious behavior.
","detections\endpoint\excessive_usage_of_net_app.yml"
"Process Deleting Its Process File Path",T1070,"f7eda4bc-871c-11eb-b110-acde48001122","This detection is to identify a suspicious process that tries to delete
  the process file path related to its process. This technique is known to be defense
  evasion once a certain condition of malware is satisfied or not. Clop ransomware
  use this technique where it will try to delete its process file path using a .bat
  command if the keyboard layout is not the layout it tries to infect.
","detections\endpoint\process_deleting_its_process_file_path.yml"
"Ransomware Notes bulk creation",T1486,"eff7919a-8330-11eb-83f8-acde48001122","The following analytics identifies a big number of instance of ransomware
  notes (filetype e.g .txt, .html, .hta) file creation to the infected machine. This
  behavior is a good sensor if the ransomware note filename is quite new for security
  industry or the ransomware note filename is not in your ransomware lookup table
  list for monitoring.
","detections\endpoint\ransomware_notes_bulk_creation.yml"
"Recon AVProduct Through Pwh or WMI",T1592,"28077620-c9f6-11eb-8785-acde48001122","The following analytic identifies suspicious PowerShell script execution
  via EventCode 4104 performing checks to identify anti-virus products installed on
  the endpoint. This technique is commonly found in malware and APT events where the
  adversary will map all running security applications or services. During triage,
  review parallel processes within the same timeframe. Review the full script block
  to identify other related artifacts.
","detections\endpoint\recon_avproduct_through_pwh_or_wmi.yml"
"Recon Using WMI Class",T1592,"018c1972-ca07-11eb-9473-acde48001122","The following analytic identifies suspicious PowerShell via EventCode
  4104, where WMI is performing an event query looking for running processes or running
  services. This technique is commonly found where the adversary will identify services
  and system information on the compromised machine. During triage, review parallel
  processes within the same timeframe. Review the full script block to identify other
  related artifacts.
","detections\endpoint\recon_using_wmi_class.yml"
"Recursive Delete of Directory In Batch CMD","T1070.004|T1070","ba570b3a-d356-11eb-8358-acde48001122","This search is to detect a suspicious commandline designed to delete
  files or directory recursive using batch command. This technique was seen in ransomware
  (reddot) where it it tries to delete the files in recycle bin to impaire user from
  recovering deleted files.
","detections\endpoint\recursive_delete_of_directory_in_batch_cmd.yml"
"Windows Disable Memory Crash Dump",T1485,"59e54602-9680-11ec-a8a6-acde48001122","The following analytic identifies a process that is attempting to disable
  the ability on Windows to generate a memory crash dump. This was recently identified
  being utilized by HermeticWiper. To disable crash dumps, the value must be set to
  0. This feature is typically modified to perform a memory crash dump when a computer
  stops unexpectedly because of a Stop error (also known as a blue screen, system
  crash, or bug check).
","detections\endpoint\windows_disable_memory_crash_dump.yml"
"Remcos RAT File Creation in Remcos Folder",T1113,"25ae862a-1ac3-11ec-94a1-acde48001122","This search is to detect file creation in remcos folder in appdata which
  is the keylog and clipboard logs that will be send to its c2 server. This is really
  a good TTP indicator that there is a remcos rat in the system that do keylogging,
  clipboard grabbing and audio recording.
","detections\endpoint\remcos_rat_file_creation_in_remcos_folder.yml"
"Remote System Discovery with Adsisearcher",T1018,"70803451-0047-4e12-9d63-77fa7eb8649c","The following analytic utilizes PowerShell Script Block Logging (EventCode=4104)
  to identify the `[Adsisearcher]` type accelerator being used to query Active Directory
  for domain computers. Red Teams and adversaries may leverage `[Adsisearcher]` to
  enumerate domain computers for situational awareness and Active Directory Discovery.
","detections\endpoint\remote_system_discovery_with_adsisearcher.yml"
"Remote System Discovery with Dsquery",T1018,"9fb562f4-42f8-4139-8e11-a82edf7ed718","This analytic looks for the execution of `dsquery.exe` with command-line
  arguments utilized to discover remote systems. The `computer` argument returns a
  list of all computers registered in the domain. Red Teams and adversaries alike
  engage in remote system discovery for situational awareness and Active Directory
  Discovery.
","detections\endpoint\remote_system_discovery_with_dsquery.yml"
"Remote System Discovery with Net",T1018,"9df16706-04a2-41e2-bbfe-9b38b34409d3","This analytic looks for the execution of `net.exe` or `net1.exe` with
  command-line arguments utilized to discover remote systems. The argument `domain
  computers /domain` returns a list of all domain computers. Red Teams and adversaries
  alike use net.exe to identify remote systems for situational awareness and Active
  Directory Discovery.
","detections\endpoint\remote_system_discovery_with_net.yml"
"Remote System Discovery with Wmic",T1018,"d82eced3-b1dc-42ab-859e-a2fc98827359","This analytic looks for the execution of `wmic.exe` with command-line
  arguments utilized to discover remote systems. The arguments utilized in this command
  return a list of all the systems registered in the domain. Red Teams and adversaries
  alike may leverage WMI and wmic.exe to identify remote systems for situational awareness
  and Active Directory Discovery.
","detections\endpoint\remote_system_discovery_with_wmic.yml"
"Revil Common Exec Parameter",T1204,"85facebe-c382-11eb-9c3e-acde48001122","This analytic identifies suspicious commandline parameter that are commonly
  used by REVIL ransomware to encrypts the compromise machine.
","detections\endpoint\revil_common_exec_parameter.yml"
"Ryuk Test Files Detected",T1486,"57d44d70-28d9-4ed1-acf5-1c80ae2bbce3","The search looks for files that contain the key word *Ryuk* under any
  folder in the C drive, which is consistent with Ryuk propagation.
","detections\endpoint\ryuk_test_files_detected.yml"
"Ryuk Wake on LAN Command","T1059|T1059.003","538d0152-7aaa-11eb-beaa-acde48001122","This Splunk query identifies the use of Wake-on-LAN utilized by Ryuk
  ransomware. The Ryuk Ransomware uses the Wake-on-Lan feature to turn on powered
  off devices on a compromised network to have greater success encrypting them. This
  is a high fidelity indicator of Ryuk ransomware executing on an endpoint. Upon triage,
  isolate the endpoint. Additional file modification events will be within the users
  profile (\appdata\roaming) and in public directories (users\public\). Review all
  Scheduled Tasks on the isolated endpoint and across the fleet. Suspicious Scheduled
  Tasks will include a path to a unknown binary and those endpoints should be isolated
  until triaged.
","detections\endpoint\ryuk_wake_on_lan_command.yml"
"Samsam Test File Write",T1486,"493a879d-519d-428f-8f57-a06a0fdc107e","The search looks for a file named ""test.txt"" written to the windows system
  directory tree, which is consistent with Samsam propagation.
","detections\endpoint\samsam_test_file_write.yml"
"Sdelete Application Execution","T1485|T1070.004|T1070","31702fc0-2682-11ec-85c3-acde48001122","This analytic is to detect the execution of sdelete.exe application sysinternal
  tools. This tool is one of the most use tool of malware and adversaries to remove
  or clear their tracks and artifact in the targetted host. This tool is designed
  to delete securely a file in file system that remove the forensic evidence on the
  machine. A good TTP query to check why user execute this application which is not
  a common practice.
","detections\endpoint\sdelete_application_execution.yml"
"Set Default PowerShell Execution Policy To Unrestricted or Bypass","T1059|T1059.001","c2590137-0b08-4985-9ec5-6ae23d92f63d","Monitor for changes of the ExecutionPolicy in the registry to the values
  ""unrestricted"" or ""bypass,"" which allows the execution of malicious scripts.
","detections\endpoint\set_default_powershell_execution_policy_to_unrestricted_or_bypass.yml"
"Spoolsv Suspicious Process Access",T1068,"799b606e-da81-11eb-93f8-acde48001122","This analytic identifies a suspicious behavior related to PrintNightmare,
  or CVE-2021-34527 previously (CVE-2021-1675),  to gain privilege escalation on the
  vulnerable machine. This exploit attacks a critical Windows Print Spooler Vulnerability
  to elevate privilege. This detection is to look for suspicious process access made
  by the spoolsv.exe that may related to the attack.
","detections\endpoint\spoolsv_suspicious_process_access.yml"
"Attempt To Delete Services","T1489|T1543|T1543.003","a0c8c292-d01a-11eb-aa18-acde48001122","The following analytic identifies Windows Service Control, `sc.exe`,
  attempting to delete a service. This is typically identified in parallel with other
  instances of service enumeration of attempts to stop a service and then delete it.
  Adversaries utilize this technique to terminate security services or other related
  services to continue there objective and evade detections.
","detections\endpoint\ssa___attempt_to_delete_services.yml"
"Attempt To Disable Services",T1489,"afb31de4-d023-11eb-98d5-acde48001122","The following analytic identifies Windows Service Control, `sc.exe`,
  attempting to disable a service. This is typically identified in parallel with other
  instances of service enumeration of attempts to stop a service and then disable
  it. Adversaries utilize this technique to terminate security services or other related
  services to continue there objective and evade detections.
","detections\endpoint\ssa___attempt_to_disable_services.yml"
"Clear Unallocated Sector Using Cipher App","T1070.004|T1070","8f907d90-6173-11ec-9c23-acde48001122","this search is to detect execution of `cipher.exe` to clear the unallocated
  sectors of a specific disk. This technique was seen in some ransomware to make it
  impossible to forensically recover deleted files.
","detections\endpoint\ssa___clear_unallocated_sector_using_cipher_app.yml"
"Delete A Net User",T1531,"8776d79c-d26e-11eb-9a56-acde48001122","This analytic will detect a suspicious net.exe/net1.exe command-line
  to delete a user on a system. This technique may be use by an administrator for
  legitimate purposes, however this behavior has been used in the wild to impair some
  user or deleting adversaries tracks created during its lateral movement additional
  systems. During triage, review parallel processes for additional behavior. Identify
  any other user accounts created before or after.
","detections\endpoint\ssa___delete_a_net_user.yml"
"Disable Net User Account","T1489|T1078","ba858b08-d26c-11eb-af9b-acde48001122","This analytic will identify a suspicious command-line that disables a
  user account using the native `net.exe` or `net1.exe` utility to Windows. This technique
  may used by the adversaries to interrupt availability of accounts and continue the
  impact against the organization.
","detections\endpoint\ssa___disable_net_user_account.yml"
"Fsutil Zeroing File",T1070,"f792cdc9-43ee-4429-a3c0-ffce4fed1a85","This search is to detect a suspicious fsutil process to zeroing a target
  file. This technique was seen in lockbit ransomware where it tries to zero out its
  malware path as part of its defense evasion after encrypting the compromised host.
","detections\endpoint\ssa___fsutil_zeroing_file.yml"
"Resize Shadowstorage Volume",T1489,"dbc30554-d27e-11eb-9e5e-acde48001122","The following analytic identifies the resizing of shadowstorage using
  vssadmin.exe to avoid the shadow volumes being made again. This technique is typically
  found used by adversaries during a ransomware event and a precursor to deleting
  the shadowstorage.
","detections\endpoint\ssa___resize_shadowstorage_volume.yml"
"Sdelete Application Execution","T1485|T1070.004|T1070","fcc52b9a-4616-11ec-8454-acde48001122","This analytic will detect the execution of sdelete.exe attempting to
  delete potentially important files that may related to adversary or insider threats
  to destroy evidence or information sabotage. Sdelete is a SysInternals utility meant
  to securely delete files on disk. This tool is commonly used to clear tracks and
  artifact on the targeted host.
","detections\endpoint\ssa___sdelete_application_execution.yml"
"System Process Running from Unexpected Location",T1036,"28179107-099a-464a-94d3-08301e6c055f","An attacker tries might try to use different version of a system command
  without overriding original, or they might try to avoid some detection running the
  process from a different folder. This detection checks that a list of system processes
  run inside C:\\Windows\System32 or C:\\Windows\SysWOW64 The list of system processes
  has been extracted from https://github.com/splunk/security_content/blob/develop/lookups/is_windows_system_file.csv
  and the original detection https://github.com/splunk/security_content/blob/develop/detections/system_processes_run_from_unexpected_locations.yml
","detections\endpoint\ssa___system_process_running_from_unexpected_location.yml"
"WevtUtil Usage To Clear Logs","T1070|T1070.001","5438113c-cdd9-11eb-93b8-acde48001122","The wevtutil.exe application is the windows event log utility. This searches
  for wevtutil.exe with parameters for clearing the application, security, setup,
  powershell, sysmon, or system event logs.
","detections\endpoint\ssa___wevtutil_usage_to_clear_logs.yml"
"Wevtutil Usage To Disable Logs","T1070|T1070.001","a4bdc944-cdd9-11eb-ac97-acde48001122","This search is to detect execution of wevtutil.exe to disable logs. This
  technique was seen in several ransomware to disable the event logs to evade alerts
  and detections in compromised host.
","detections\endpoint\ssa___wevtutil_usage_to_disable_logs.yml"
"Windows DotNet Binary in Non Standard Path","T1036|T1036.003|T1218|T1218.004","21179107-099a-324a-94d3-08301e6c065f","The following analytic identifies native .net binaries within the Windows
  operating system that may be abused by adversaries by moving it to a new directory.
  The analytic identifies the .net binary by using a list. If one or the other matches an alert will be generated. Adversaries abuse
  these binaries as they are native to Windows and native DotNet. Note that not all
  SDK (post install of Windows) are captured in the list. Lookup - https://github.com/splunk/security_content/blob/develop/lookups/is_net_windows_file.csv.
","detections\endpoint\ssa___windows_dotnet_binary_in_non_standard_path.yml"
"Suspicious Computer Account Name Change","T1078|T1078.002","35a61ed8-61c4-11ec-bc1e-acde48001122","As part of the sAMAccountName Spoofing (CVE-2021-42278) and Domain Controller
  Impersonation (CVE-2021-42287) exploitation chain, adversaries need to create a
  new computer account name and rename it to match the name of a domain controller
  account without the ending '$'. In Windows Active Directory environments, computer
  account names always end with `$`. This analytic leverages Event Id 4781, `The name
  of an account was changed`, to identify a computer account rename event with a suspicious
  name that does not terminate with `$`. This behavior could represent an exploitation
  attempt of CVE-2021-42278 and CVE-2021-42287 for privilege escalation.
","detections\endpoint\suspicious_computer_account_name_change.yml"
"Suspicious Copy on System32","T1036.003|T1036","ce633e56-25b2-11ec-9e76-acde48001122","This analytic is to detect a suspicious copy of file from systemroot
  folder of the windows OS. This technique is commonly used by APT or other malware
  as part of execution (LOLBIN) to run its malicious code using the available legitimate
  tool in OS. this type of event may seen or may execute of normal user in some instance
  but this is really a anomaly that needs to be check within the network.
","detections\endpoint\suspicious_copy_on_system32.yml"
"Suspicious Event Log Service Behavior","T1070|T1070.001","2b85aa3d-f5f6-4c2e-a081-a09f6e1c2e40","The following analytic utilizes Windows Event ID 1100 to identify when
  Windows event log service is shutdown. Note that this is a voluminous analytic that
  will require tuning or restricted to specific endpoints based on criticality. This
  event generates every time Windows Event Log service has shut down. It also generates
  during normal system shutdown. During triage, based on time of day and user, determine
  if this was planned. If not planned, follow through with reviewing parallel alerts
  and other data sources to determine what else may have occurred.
","detections\endpoint\suspicious_event_log_service_behavior.yml"
"Suspicious Image Creation In Appdata Folder",T1113,"f6f904c4-1ac0-11ec-806b-acde48001122","This search is to detect a suspicious creation of image in appdata folder
  made by process that also has a file reference in appdata folder. This technique
  was seen in remcos rat that capture screenshot of the compromised machine and place
  it in the appdata and will be send to its C2 server. This TTP is really a good indicator
  to check that process because it is in suspicious folder path and image files are
  not commonly created by user in this folder path.
","detections\endpoint\suspicious_image_creation_in_appdata_folder.yml"
"Suspicious Kerberos Service Ticket Request","T1078|T1078.002","8b1297bc-6204-11ec-b7c4-acde48001122","As part of the sAMAccountName Spoofing (CVE-2021-42278) and Domain Controller
  Impersonation (CVE-2021-42287) exploitation chain, adversaries will request and
  obtain a Kerberos Service Ticket (TGS) with a domain controller computer account
  as the Service Name. This Service Ticket can be then used to take control of the
  domain controller on the final part of the attack. This analytic leverages Event
  Id 4769, `A Kerberos service ticket was requested`, to identify an unusual TGS request
  where the Account_Name requesting the ticket matches the Service_Name field. This
  behavior could represent an exploitation attempt of CVE-2021-42278 and CVE-2021-42287
  for privilege escalation.
","detections\endpoint\suspicious_kerberos_service_ticket_request.yml"
"Suspicious Linux Discovery Commands","T1059.004","0edd5112-56c9-11ec-b990-acde48001122","'This search, detects execution of suspicious bash commands from various
  commonly leveraged bash scripts like (AutoSUID, LinEnum, LinPeas) to perform discovery
  of possible paths of privilege execution, password files, vulnerable directories,
  executables and file permissions on a Linux host.\
  The search logic specifically looks for high number of distinct commands run in
  a short period of time.'
","detections\endpoint\suspicious_linux_discovery_commands.yml"
"Suspicious microsoft workflow compiler rename","T1036|T1127|T1036.003","f0db4464-55d9-11eb-ae93-0242ac130002","The following analytic identifies a renamed instance of microsoft.workflow.compiler.exe.
  Microsoft.workflow.compiler.exe is natively found in C:\Windows\Microsoft.NET\Framework64\v4.0.30319
  and is rarely utilized. When investigating, identify the executed code on disk and
  review. A spawned child process from microsoft.workflow.compiler.exe is uncommon.
  In any instance, microsoft.workflow.compiler.exe spawning from an Office product
  or any living off the land binary is highly suspect.
","detections\endpoint\suspicious_microsoft_workflow_compiler_rename.yml"
"Suspicious msbuild path","T1036|T1127|T1036.003|T1127.001","f5198224-551c-11eb-ae93-0242ac130002","The following analytic identifies msbuild.exe executing from a non-standard
  path. Msbuild.exe is natively found in C:\Windows\Microsoft.NET\Framework\v4.0.30319
  and C:\Windows\Microsoft.NET\Framework64\v4.0.30319. Instances of Visual Studio
  will run a copy of msbuild.exe. A moved instance of MSBuild is suspicious, however
  there are instances of build applications that will move or use a copy of MSBuild.
","detections\endpoint\suspicious_msbuild_path.yml"
"Suspicious MSBuild Rename","T1036|T1127|T1036.003|T1127.001","4006adac-5937-11eb-ae93-0242ac130002","The following analytic identifies renamed instances of msbuild.exe executing.
  Msbuild.exe is natively found in C:\Windows\Microsoft.NET\Framework\v4.0.30319 and
  C:\Windows\Microsoft.NET\Framework64\v4.0.30319. During investigation, identify
  the code executed and what is executing a renamed instance of MSBuild.
","detections\endpoint\suspicious_msbuild_rename.yml"
"Suspicious Process DNS Query Known Abuse Web Services","T1059.005|T1059","3cf0dc36-484d-11ec-a6bc-acde48001122","This analytic detects a suspicious process making a DNS query via known,
  abused text-paste web services, VoIP, instant messaging, and digital distribution
  platforms used to download external files. This technique is abused by adversaries,
  malware actors, and red teams to download a malicious file on the target host. This
  is a good TTP indicator for possible initial access techniques. A user will experience
  false positives if the following instant messaging is allowed or common applications
  like telegram or discord are allowed in the corporate network.
","detections\endpoint\suspicious_process_dns_query_known_abuse_web_services.yml"
"Suspicious Process With Discord DNS Query","T1059.005|T1059","4d4332ae-792c-11ec-89c1-acde48001122","This analytic identifies a process making a DNS query to Discord, a well
  known instant messaging and digital distribution platform. Discord can be abused
  by adversaries, as seen in the WhisperGate campaign, to host and download malicious.
  external files. A process resolving a Discord DNS name could be an indicator of
  malware trying to download files from Discord for further execution.
","detections\endpoint\suspicious_process_with_discord_dns_query.yml"
"Suspicious Ticket Granting Ticket Request","T1078|T1078.002","d77d349e-6269-11ec-9cfe-acde48001122","As part of the sAMAccountName Spoofing (CVE-2021-42278) and Domain Controller
  Impersonation (CVE-2021-42287) exploitation chain, adversaries will need to request
  a Kerberos Ticket Granting Ticket (TGT) on behalf of the newly created and renamed
  computer account. The TGT request will be preceded by a computer account name event.
  This analytic leverages Event Id 4781, `The name of an account was changed` and
  event Id 4768 `A Kerberos authentication ticket (TGT) was requested` to correlate
  a sequence of events where the new computer account on event id 4781 matches the
  request account on event id 4768. This behavior could represent an exploitation
  attempt of CVE-2021-42278 and CVE-2021-42287 for privilege escalation.
","detections\endpoint\suspicious_ticket_granting_ticket_request.yml"
"Suspicious WAV file in Appdata Folder",T1113,"5be109e6-1ac5-11ec-b421-acde48001122","This analytic is to detect a suspicious creation of .wav file in appdata
  folder. This behavior was seen in Remcos RAT malware where it put the audio recording
  in the appdata\audio folde as part of data collection. this recording can be send
  to its C2 server as part of its exfiltration to the compromised machine. creation
  of wav files in this folder path is not a ussual disk place used by user to save
  audio format file.
","detections\endpoint\suspicious_wav_file_in_appdata_folder.yml"
"Suspicious wevtutil Usage","T1070.001|T1070","2827c0fd-e1be-4868-ae25-59d28e0f9d4f","The wevtutil.exe application is the windows event log utility. This searches
  for wevtutil.exe with parameters for clearing the application, security, setup,
  trace or system event logs.
","detections\endpoint\suspicious_wevtutil_usage.yml"
"Suspicious writes to windows Recycle Bin",T1036,"b5541828-8ffd-4070-9d95-b3da4de924cb","This search detects writes to the recycle bin by a process other than
  explorer.exe.
","detections\endpoint\suspicious_writes_to_windows_recycle_bin.yml"
"System Info Gathering Using Dxdiag Application",T1592,"f92d74f2-4921-11ec-b685-acde48001122","This analytic is to detect a suspicious dxdiag.exe process command-line
  execution. Dxdiag is used to collect the system info of the target host. This technique
  has been used by Remcos RATS, various actors, and other malware to collect information
  as part of the recon or collection phase of an attack. This behavior should rarely
  be seen in a corporate network, but this command line can be used by a network administrator
  to audit host machine specifications. Thus in some rare cases, this detection will
  contain false positives in its results. To triage further, analyze what commands
  were passed after it pipes out the result to a file for further processing.
","detections\endpoint\system_info_gathering_using_dxdiag_application.yml"
"System Processes Run From Unexpected Locations","T1036|T1036.003","a34aae96-ccf8-4aef-952c-3ea21444444d","'This search looks for system processes that typically execute from `C:\Windows\System32\`
  or `C:\Windows\SysWOW64`.  This may indicate a malicious process that is trying
  to hide as a legitimate process.\
  This detection utilizes a lookup that is deduped `system32` and `syswow64` directories
  from Server 2016 and Windows 10.\
  During triage, review the parallel processes - what process moved the native Windows
  binary? identify any artifacts on disk and review. If a remote destination is contacted,
  what is the reputation?'
","detections\endpoint\system_processes_run_from_unexpected_locations.yml"
"Unified Messaging Service Spawning a Process",T1190,"f1126df0-7bd5-11eb-988f-acde48001122","This detection identifies Microsoft Exchange Server's Unified Messaging
  services, umworkerprocess.exe and umservice.exe, spawning a child process, indicating
  possible exploitation of CVE-2021-26857 vulnerability. The query filters out werfault.exe
  and wermgr.exe mostly due to potential false positives, however, if there is an
  excessive amount of ""wermgr.exe"" or ""WerFault.exe"" failures, it may be due to the
  active exploitation. During triage, identify any additional suspicious parallel
  processes. Identify any recent out of place file modifications. Review Exchange
  logs following Microsofts guide. To contain, perform egress filtering or restrict
  public access to Exchange. In final, patch the vulnerablity and monitor.
","detections\endpoint\unified_messaging_service_spawning_a_process.yml"
